User-ID,ISBN,Book-Rating
32440,0380018179,8
49144,8422641127,5
156424,3442453844,7
7125,0060586125,8
251606,0316789844,8
22910,3442541751,10
242006,0373483619,10
16106,0345455207,9
274301,0855616539,10
189750,8448030494,7
47779,0140502068,9
95923,0689820402,3
138951,0060290390,10
223154,0439098645,9
201058,080500968X,7
96473,3505028002,10
268262,0671718347,8
56072,1885171218,3
91281,061815082X,6
246910,0440219078,10
270632,0312105223,7
147847,0373077351,10
139827,0971144702,9
153797,034536743X,8
220688,0760720118,5
132356,0345367650,8
18016,042515047X,9
57620,1559724838,10
46163,0679404864,7
28870,039592684X,8
216149,8501067113,8
87555,0375701214,10
270776,0060930616,7
71739,0060955775,9
112986,1931742200,8
3817,0385479565,9
192920,9025499511,8
114368,0399141227,10
201677,038550926X,6
189227,3050003936,5
98391,1400041732,10
135988,0156028778,7
121606,014025448X,8
85757,0312312431,8
7482,0425180468,8
248718,0886773547,4
164828,0380809281,7
155141,0316779237,2
91047,0330485954,7
119517,0515132187,8
56399,1858283051,10
149908,0552139947,7
158295,0446603376,5
47118,0307116042,8
93709,1565072340,7
132683,0533139759,10
177458,0140018603,10
102359,0451405471,10
81249,0679735909,8
11768,0971880107,8
84831,3129222332,8
202358,9724125866,6
36369,8475561861,8
271531,0836236688,9
158433,0345384369,6
268186,0140373489,7
78262,1883318467,4
148199,0030617316,5
239667,0446525243,8
11676,2843370841,10
57006,067103636X,9
229405,0375719180,10
203017,1875137793,9
70996,8817113506,8
253482,0425181111,10
35339,0764224514,9
3329,0345313577,7
117925,0425167313,7
68156,1568651880,9
192710,0553493981,3
229313,059035342X,10
104399,0394800796,10
255099,3150000475,7
141309,0312983824,7
91113,0670031658,4
246561,0330328913,8
216444,0671694324,7
135176,0195402065,8
183958,0904766667,9
10314,0345460359,7
166596,0425147762,9
81977,068484477X,8
210573,044023722X,8
60050,0971880107,2
162935,0671660632,5
16966,0440215609,5
254863,0373117337,5
176667,082176344X,7
142524,1878448625,7
275994,055357230X,7
267635,0804112754,8
86947,051770434X,10
27740,0399148337,7
246507,0142001430,7
259114,0894717960,10
211098,0312976275,5
95359,0805070516,9
116866,061822307X,9
47857,0688146910,7
95903,0307020363,7
44487,0140241078,7
209174,0767905180,9
172030,0312952244,8
36606,0670891606,5
16634,0916856372,8
163186,0060173289,10
170092,0618526412,8
2240,0162823272,7
15819,0486268780,5
156300,0739405349,8
196047,0380730138,8
638,0743406176,10
169770,0441569595,8
29487,1558505296,2
53220,0451180429,8
245295,0091882737,10
9139,0440220238,7
80075,3257232829,6
135045,0425115801,9
47316,0515136263,8
14079,1593080255,8
98026,0451208765,10
129338,0884046818,8
43961,0375502238,7
56360,3423121173,5
134837,0140180788,8
112402,0061020400,8
38556,0140100474,5
51883,0380729768,7
93629,0843104287,6
185467,0345430557,9
53614,0671759345,7
88677,0425195260,9
210223,0553258915,7
26883,0553256092,6
183142,0373440936,8
180189,0765341891,8
249894,044155279X,8
227447,0515135828,10
140358,0671708635,5
30972,0446607711,5
241949,0440236169,7
39340,0688148638,8
127203,0520046986,6
124874,0452283221,7
207518,0836213211,7
60307,0345439104,8
221870,0061020273,8
275414,8807812762,9
55548,0060928336,9
96744,950491036X,10
233529,1551660695,5
123790,0517189542,9
197659,1576732762,10
258690,0553275984,6
124089,0142003239,8
52885,3423124245,7
145527,2742728783,6
201568,042518286X,6
36554,0806511729,10
39616,0345394062,8
190960,0395977894,9
192766,0380726238,6
218757,085628100X,8
29209,0375702733,8
123883,0373312008,5
8890,2876860414,10
257204,0886775094,10
69389,0312971346,9
112083,1892213664,7
273648,0385259824,7
32074,0449225313,8
36554,0374105200,8
123988,0940183218,2
203542,0373244584,5
94744,0789709325,8
171007,0345453387,7
181896,0553586122,8
206301,096664431X,9
259660,014038572X,5
140069,0140032193,8
130571,0060175400,8
109461,1573221961,8
271000,0375758623,6
19611,342333052X,1
211344,0684862751,8
27140,0440207770,10
163761,0505522624,6
177728,3442441994,7
182686,0451525973,9
223581,9504911889,8
56360,3608933867,8
23902,0679435921,10
23902,0099277301,7
131154,0684823802,10
252222,000647425X,7
157380,0671791850,9
166473,8806164163,7
11676,0553443631,5
110381,0345346491,8
20106,0446530239,7
52572,0395264758,6
186039,0836217616,9
52614,0373763298,10
175101,0399143823,10
259479,0060513608,8
171118,0515099546,6
66323,0060572493,5
236989,3505100994,6
62688,1563893304,10
254690,0763617261,8
180958,0140295569,8
239688,0515118559,8
133571,0440180295,8
270737,0375726349,9
18722,0786886021,7
121264,0142000604,7
11676,0312269609,4
193778,0373263260,9
214224,0380600129,9
3757,84322221119,7
81560,0552131075,8
41174,8471751054,9
7982,0515131229,6
70415,0316781142,3
82831,0971880107,7
278582,0425190927,7
116599,0373225849,9
248718,0967990904,8
259006,0152380418,7
131021,081292603X,7
15654,0671755064,7
140255,068483376X,9
210035,0380774321,8
157018,1572316403,7
141815,0061097101,7
187810,0312278675,10
201776,0385497466,9
111847,0449227898,7
114988,0786808772,9
278314,0140055932,5
72190,0060932090,6
188010,1558744150,8
5049,0316666343,8
241565,0380008718,5
7125,0345469674,3
34823,3257063776,8
205979,0434009598,8
264525,1561797111,10
227447,0373195206,8
64806,0671794264,5
264898,3453149874,5
8734,0380973650,8
114218,089272322X,5
215988,0767907140,5
107921,0380766329,8
15527,1573225517,10
104399,078601475X,10
225232,0552136786,6
185233,0671436600,5
207868,0786881852,7
90766,1741142199,10
11676,0451523326,9
171679,0553380117,9
89551,0060637935,10
208671,1558745157,8
135149,0670892963,7
203401,0345428145,8
169779,1559029838,9
274111,0804712441,10
64779,0425122123,6
64429,0688165575,7
12384,0312924585,8
176887,0452270642,9
34752,0767915593,8
172676,0631181075,9
182086,0515129968,10
89207,0595276954,10
51210,0316926108,8
65258,0517361116,8
10294,9176432548,4
129489,0451154282,10
42162,1569319618,7
258185,0553563327,7
181510,0595259596,10
19720,0843947616,5
11676,0441790348,8
109955,0446607134,8
163759,0671520032,5
171454,0060173289,5
182993,0312278586,9
194534,0399146911,7
93629,0030632366,8
95359,0963960776,8
186362,0312962452,5
194676,0553275852,6
33974,0688021549,5
267267,096550297X,10
122086,0140170502,9
163925,0753804700,7
98787,0749309423,9
100832,0452282152,7
204968,0833544926,7
262667,0590383892,6
209155,0307029441,5
80908,8433920847,6
162153,0385264763,8
37168,0553569473,10
235105,0553211285,10
73050,0767915054,9
20961,0671700995,7
178240,0553280945,7
16121,0451409000,3
274111,0374517983,9
250407,0425143325,10
211426,0226439267,8
38922,0064400859,5
245410,0786817070,8
143211,0767912241,8
176894,1558321179,9
216882,0140502602,8
226879,0440162041,8
76626,B00005RID3,10
122542,0679412956,10
34115,0525944885,7
213663,1860196276,10
4385,0446364312,10
140863,3923622104,7
7915,0312966091,8
275154,0553208845,9
103009,0590110039,5
100519,0517101858,10
153662,0767908481,8
31468,038075889X,5
177458,0140366857,7
200076,038072121X,8
70703,0020199708,8
74453,0060506679,8
105562,2708005138,5
53323,30/1630/0,7
3779,0312980345,7
203213,0553381210,5
277929,0821724479,8
253859,8422632454,5
60244,0688152449,9
67236,0836218310,8
11676,8811738717,6
105475,0684833395,10
212088,3980422658,10
172676,0380725703,8
54898,8420616001,9
48025,0671036645,8
185359,3453065794,3
58067,8422692244,9
148344,0312961324,10
202277,0312962339,7
214920,8401492726,9
64629,0060014342,6
251606,0880642297,6
8067,0007106572,9
158433,0515106402,10
121264,0679439382,6
39362,0440228654,9
180284,067102437X,5
67547,0684850273,8
219101,8807813815,9
114007,0440206154,8
264355,1558743324,9
156467,0310404908,10
126911,0345272463,6
129084,0446361739,6
100782,0903446472,7
207782,0671039857,7
49052,8804458070,7
113229,0061000175,5
39723,0679748644,10
60796,0670815144,8
29291,3462022725,8
56959,0590371258,10
276487,8437601142,9
1830,0099387913,6
272233,0670805424,9
262070,0749700351,8
55927,0142437336,8
190133,0394757793,7
238540,0895941228,7
32036,0804112835,8
31803,0330332104,3
8253,0786884622,7
200323,0671035274,5
245372,11238356,8
153662,051511054X,10
207825,0590449958,5
776,0876850867,8
200618,0156005859,5
155769,8420646199,8
217740,081120457X,6
104665,0394849299,3
25681,1577311523,10
196656,2266073370,7
109574,0449242005,10
144563,0446610399,9
145887,0380728133,9
150979,0785270493,8
2030,0385315287,10
177040,0553284789,8
229551,0373790074,9
189835,0824809912,5
65663,1582970599,9
24641,0380016362,6
162639,0804108749,9
54166,186049899X,7
63923,0802135056,6
130150,0671577786,5
38281,8408027530,6
105227,9684030053,10
81560,0552124753,10
1653,8401466350,7
38023,0764300385,10
262399,038072913X,9
266387,0385508042,8
188273,0312986343,6
110029,0060930187,4
95923,0679746048,9
183187,0802774261,10
95525,0140430229,6
16996,0440514428,8
11676,3442541751,7
23902,0140109951,9
56959,0440498058,10
51291,0764227343,10
158572,0679891927,4
235282,0451137965,8
60707,0553291955,9
51883,096419354X,10
98391,0595005470,10
82831,0787121363,7
22991,3453171861,5
31315,0515134503,8
199515,0671001809,9
93275,0688058914,6
117700,0070650845,10
276786,8466300821,6
119749,0717287106,5
155402,9782890444225,8
3757,8432222194,8
131121,1557488150,7
98391,0743202295,9
57398,0441006280,7
207835,006109868X,8
47534,3518368834,7
243825,9028416277,7
171118,0671831402,7
107865,1583142975,8
7300,3473350834,6
224572,8476600623,6
237451,0452280621,9
192215,0671754629,3
235105,0385510187,8
265115,0553586416,8
13850,0553107437,10
216444,0671476297,5
275429,0425179613,5
98686,0131832603,7
262998,0415278376,8
211174,0553342495,9
218608,0375413065,8
109864,014023828X,8
62009,1400049490,7
136205,0142001740,10
38887,0060987561,7
224108,380714752,8
216012,1583142924,8
254863,0373225792,5
191881,0440214424,7
8890,2742708715,9
107718,1569470200,5
4521,0061095540,5
168016,0553576801,7
37623,0836220986,7
135445,0425156273,5
196466,0385506686,9
120565,0151115192,9
40145,0385319037,7
59524,0425179826,3
16634,0312980167,9
27891,0671004565,7
272738,0767903382,9
220959,0967673747,10
260509,0374217513,7
98783,0553262505,8
261641,8804493046,9
220597,080411952X,7
244708,0671028367,8
189835,0380812932,5
205919,0140366660,7
102702,0352332778,7
10681,089733356X,8
275050,0671527215,9
10819,0425091805,8
60464,0061008893,6
123744,0060830565,10
204864,0393972836,8
75591,0374120803,7
97874,0688175791,8
182085,0373034628,9
231330,0201483408,9
231482,0553812726,10
268523,0330375113,7
256575,092007944X,8
102158,3423125837,2
8066,0452282020,10
169682,0679732764,10
210485,0345336046,8
103816,8846201728,4
125903,0192833626,8
70703,0140622446,7
160943,1555836011,7
67403,0345435249,8
95923,0689814321,6
229667,055328228X,10
138543,0345313860,9
223530,0399143629,5
112987,031242227X,7
83561,092963408X,6
190185,0671010115,6
131402,0855335629,5
112001,0451169530,10
184532,1572240032,10
201810,0871138158,8
49629,0571207731,8
98391,1931402019,8
206570,0590426796,10
174304,0671873199,8
56959,0385313632,10
195296,8433910698,7
34597,0679811729,10
23872,0525945210,9
28594,0553258524,7
142256,0804109052,8
95991,0671831488,7
221445,0312966091,8
94744,1843360640,9
200993,0140232478,9
115435,0679739297,10
165017,0375725849,9
28448,0553296981,9
235895,0345391896,5
52350,B0000X8HIE,6
7134,0061009504,8
161195,1568655290,6
149802,1576737462,8
13735,2226120467,7
223034,0816016771,8
110973,0425157547,7
57624,1863682406,10
80119,0770428827,8
166409,0446600547,5
258520,0140234012,10
59038,0140177396,10
241198,3492228224,10
147803,9282316653,3
98655,D446610038,9
3917,0517886685,9
61348,0553277472,10
193665,0380818973,7
129845,9722107909,8
24433,0684832828,8
189973,0440222427,1
135609,0679737995,7
156534,046002504X,10
8935,0345453816,7
22625,0764561472,10
11676,0486264785,8
228998,044092717X,9
259320,0425144429,7
81682,0385265484,5
173239,0425147363,5
140000,0345436911,5
181877,0141182229,8
7326,0380789140,6
11676,0140077022,7
153662,0821771477,10
60427,0375707700,7
107592,0452281482,8
152354,0671673645,9
28591,0451410904,10
1733,0373707959,8
35859,0439324599,8
166492,0671413708,7
50204,034536676X,8
220240,0062515160,9
252290,8432216062,9
171404,614207321,8
167511,0452282128,4
121251,158322081X,7
208236,0425117758,5
202379,0671027360,8
227250,1551667517,10
129281,0140253033,3
83671,0553578529,8
148898,0380818973,10
268593,0312986343,5
29497,0446611212,10
5351,0330262726,9
199809,0809228408,9
94242,8439591691,7
45119,051513452X,8
169438,067100171X,7
95741,0770423019,5
110483,1568653433,8
73020,0553581023,8
196886,0446610038,8
158033,0060014253,8
202358,9722021303,6
153662,0671796070,8
109357,0425167720,7
126693,0345301110,7
146372,043936552X,8
61854,0312278586,10
55490,0425043835,10
245298,0553297988,8
149907,038072975X,6
273718,0140585982,9
134347,0441478123,10
52768,0380718774,6
14958,8440648375,8
